Mixture	EL4X_35	GQ4X_83	EL4X_199	EL4X_482
Tm1310	0.25	0.25	0.25	0.25
Tm1311	0.25	0.25	0.25	0.25
Tm1312	0.25	0.25	0.25	0.25
Tm1313	0.0625	0.3125	0.3125	0.3125
Tm1314	0.0625	0.3125	0.3125	0.3125
Tm1315	0.0625	0.3125	0.3125	0.3125
Tm1316	0.3125	0.0625	0.3125	0.3125
Tm1317	0.3125	0.0625	0.3125	0.3125
Tm1318	0.3125	0.0625	0.3125	0.3125
Tm1319	0.3125	0.3125	0.0625	0.3125
Tm1320	0.3125	0.3125	0.0625	0.3125
Tm1321	0.3125	0.3125	0.0625	0.3125
Tm1322	0.3125	0.3125	0.3125	0.0625
Tm1323	0.3125	0.3125	0.3125	0.0625
Tm1324	0.3125	0.3125	0.3125	0.0625
Tm1325	0.8125	0.0625	0.0625	0.0625
Tm1326	0.8125	0.0625	0.0625	0.0625
Tm1327	0.8125	0.0625	0.0625	0.0625
Tm1328	0.0625	0.8125	0.0625	0.0625
Tm1329	0.0625	0.8125	0.0625	0.0625
Tm1330	0.0625	0.8125	0.0625	0.0625
Tm1331	0.0625	0.0625	0.8125	0.0625
Tm1332	0.0625	0.0625	0.8125	0.0625
Tm1333	0.0625	0.0625	0.8125	0.0625
Tm1334	0.0625	0.0625	0.0625	0.8125
Tm1335	0.0625	0.0625	0.0625	0.8125
Tm1336	0.0625	0.0625	0.0625	0.8125
