Component	Mixture	EstFreq	ExpFreq
EL4X_199	Tm1310	0.232	0.25
EL4X_199	Tm1311	0.2379	0.25
EL4X_199	Tm1312	0.2251	0.25
EL4X_199	Tm1313	0.3079	0.3125
EL4X_199	Tm1314	0.3051	0.3125
EL4X_199	Tm1315	0.3064	0.3125
EL4X_199	Tm1316	0.278	0.3125
EL4X_199	Tm1317	0.2807	0.3125
EL4X_199	Tm1318	0.293	0.3125
EL4X_199	Tm1319	0.0498	0.0625
EL4X_199	Tm1320	0.0463	0.0625
EL4X_199	Tm1321	0.041	0.0625
EL4X_199	Tm1322	0.2935	0.3125
EL4X_199	Tm1323	0.2836	0.3125
EL4X_199	Tm1324	0.2928	0.3125
EL4X_199	Tm1325	0.0585	0.0625
EL4X_199	Tm1326	0.0729	0.0625
EL4X_199	Tm1327	0.0617	0.0625
EL4X_199	Tm1328	0.0763	0.0625
EL4X_199	Tm1329	0.0794	0.0625
EL4X_199	Tm1330	0.0682	0.0625
EL4X_199	Tm1331	0.8031	0.8125
EL4X_199	Tm1332	0.8121	0.8125
EL4X_199	Tm1333	0.8073	0.8125
EL4X_199	Tm1334	0.0804	0.0625
EL4X_199	Tm1335	0.0687	0.0625
EL4X_199	Tm1336	0.0787	0.0625
EL4X_35	Tm1310	0.3136	0.25
EL4X_35	Tm1311	0.3151	0.25
EL4X_35	Tm1312	0.2964	0.25
EL4X_35	Tm1313	0.0637	0.0625
EL4X_35	Tm1314	0.0662	0.0625
EL4X_35	Tm1315	0.059	0.0625
EL4X_35	Tm1316	0.3659	0.3125
EL4X_35	Tm1317	0.3679	0.3125
EL4X_35	Tm1318	0.3684	0.3125
EL4X_35	Tm1319	0.3695	0.3125
EL4X_35	Tm1320	0.3589	0.3125
EL4X_35	Tm1321	0.3508	0.3125
EL4X_35	Tm1322	0.3566	0.3125
EL4X_35	Tm1323	0.3436	0.3125
EL4X_35	Tm1324	0.3575	0.3125
EL4X_35	Tm1325	0.8757	0.8125
EL4X_35	Tm1326	0.8788	0.8125
EL4X_35	Tm1327	0.8826	0.8125
EL4X_35	Tm1328	0.0883	0.0625
EL4X_35	Tm1329	0.0917	0.0625
EL4X_35	Tm1330	0.0652	0.0625
EL4X_35	Tm1331	0.0825	0.0625
EL4X_35	Tm1332	0.0832	0.0625
EL4X_35	Tm1333	0.0825	0.0625
EL4X_35	Tm1334	0.0892	0.0625
EL4X_35	Tm1335	0.1012	0.0625
EL4X_35	Tm1336	0.0891	0.0625
EL4X_482	Tm1310	0.2354	0.25
EL4X_482	Tm1311	0.2238	0.25
EL4X_482	Tm1312	0.2443	0.25
EL4X_482	Tm1313	0.3484	0.3125
EL4X_482	Tm1314	0.3351	0.3125
EL4X_482	Tm1315	0.3326	0.3125
EL4X_482	Tm1316	0.3072	0.3125
EL4X_482	Tm1317	0.3124	0.3125
EL4X_482	Tm1318	0.3048	0.3125
EL4X_482	Tm1319	0.3088	0.3125
EL4X_482	Tm1320	0.3168	0.3125
EL4X_482	Tm1321	0.3288	0.3125
EL4X_482	Tm1322	0.0892	0.0625
EL4X_482	Tm1323	0.0994	0.0625
EL4X_482	Tm1324	0.0829	0.0625
EL4X_482	Tm1325	0.0582	0.0625
EL4X_482	Tm1326	0.0493	0.0625
EL4X_482	Tm1327	0.0574	0.0625
EL4X_482	Tm1328	0.0955	0.0625
EL4X_482	Tm1329	0.0927	0.0625
EL4X_482	Tm1330	0.1024	0.0625
EL4X_482	Tm1331	0.0823	0.0625
EL4X_482	Tm1332	0.0774	0.0625
EL4X_482	Tm1333	0.0828	0.0625
EL4X_482	Tm1334	0.8022	0.8125
EL4X_482	Tm1335	0.8043	0.8125
EL4X_482	Tm1336	0.8146	0.8125
GQ4X_83	Tm1310	0.2392	0.25
GQ4X_83	Tm1311	0.2455	0.25
GQ4X_83	Tm1312	0.2628	0.25
GQ4X_83	Tm1313	0.3134	0.3125
GQ4X_83	Tm1314	0.3248	0.3125
GQ4X_83	Tm1315	0.3272	0.3125
GQ4X_83	Tm1316	0.082	0.0625
GQ4X_83	Tm1317	0.0609	0.0625
GQ4X_83	Tm1318	0.0695	0.0625
GQ4X_83	Tm1319	0.3005	0.3125
GQ4X_83	Tm1320	0.3064	0.3125
GQ4X_83	Tm1321	0.3174	0.3125
GQ4X_83	Tm1322	0.2813	0.3125
GQ4X_83	Tm1323	0.2952	0.3125
GQ4X_83	Tm1324	0.2834	0.3125
GQ4X_83	Tm1325	0.0683	0.0625
GQ4X_83	Tm1326	0.0606	0.0625
GQ4X_83	Tm1327	0.0617	0.0625
GQ4X_83	Tm1328	0.765	0.8125
GQ4X_83	Tm1329	0.7818	0.8125
GQ4X_83	Tm1330	0.7935	0.8125
GQ4X_83	Tm1331	0.0681	0.0625
GQ4X_83	Tm1332	0.0672	0.0625
GQ4X_83	Tm1333	0.0642	0.0625
GQ4X_83	Tm1334	0.0751	0.0625
GQ4X_83	Tm1335	0.0753	0.0625
GQ4X_83	Tm1336	0.065	0.0625
